Prekë;Pavadinimas;Barkodas;Grupë;Vartotojas;Sandëlis;Kiekis;Pard. kaina<br>(be PVM);Pard. suma;PVM proc.;PVM suma;Suma;Grupës pav.
KLM4-K542;Kelnaitës;KLM4-K542;KELNAITES;-;-;3333;30,0000;0,7500;22,5000;0,0000;0,0000;22,5000;"Moteriðkos kelnaitës"
KLM4-K914;Kelnaitës;KLM4-K914;KELNAITES;-;-;3333;30,0000;0,7500;22,5000;0,0000;0,0000;22,5000;"Moteriðkos kelnaitës"
KLM5-B5532;Kelnaitës;KLM5-B5532;KELNAITES;-;-;3333;12,0000;1,0000;12,0000;0,0000;0,0000;12,0000;"Moteriðkos kelnaitës"
KLM5-B91821;Kelnaitës;KLM5-B91821;KELNAITES;-;-;3333;24,0000;1,0000;24,0000;0,0000;0,0000;24,0000;"Moteriðkos kelnaitës"
KLM5-D1537;Kelnaitës;KLM5-D1537;KELNAITES;-;-;3333;24,0000;0,8500;20,4000;0,0000;0,0000;20,4000;"Moteriðkos kelnaitës"
KLM5-D658;Kelnaitës;KLM5-D658;KELNAITES;-;-;3333;12,0000;1,2500;15,0000;0,0000;0,0000;15,0000;"Moteriðkos kelnaitës"
KLV1-BH0021;"Vyr. kelnaitës";KLV1-BH0021;"VYR KELNAITES";-;-;3333;12,0000;1,0000;12,0000;0,0000;0,0000;12,0000;"vyriðkos trumpikës"
KLV1-BH009;"Vyr. kelnaitës";KLV1-BH009;"VYR KELNAITES";-;-;3333;12,0000;1,0000;12,0000;0,0000;0,0000;12,0000;"vyriðkos trumpikës"
KLV1-DREAM;"Vyr. kelnaitës";KLV1-DREAM;"VYR KELNAITES";-;-;3333;60,0000;1,0000;60,0000;0,0000;0,0000;60,0000;"vyriðkos trumpikës"
KLV1-K-FATFI;"Vyr. kelnaitës";KLV1-K-FATFI;"VYR KELNAITES";-;-;3333;60,0000;1,0000;60,0000;0,0000;0,0000;60,0000;"vyriðkos trumpikës"
KLV2-K428;"Vyr. kelnaitës";KLV2-K428;"VYR KELNAITES";-;-;3333;60,0000;1,5000;90,0000;0,0000;0,0000;90,0000;"vyriðkos trumpikës"
KLV2-K514;"Vyr. kelnaitës";KLV2-K514;"VYR KELNAITES";-;-;3333;20,0000;1,7500;35,0000;0,0000;0,0000;35,0000;"vyriðkos trumpikës"
KLV2-K530;"Vyr. kelnaitës";KLV2-K530;"VYR KELNAITES";-;-;3333;10,0000;1,7500;17,5000;0,0000;0,0000;17,5000;"vyriðkos trumpikës"
KLV2-K88137;"Vyr. kelnaitës";KLV2-K88137;"VYR KELNAITES";-;-;3333;40,0000;1,5000;60,0000;0,0000;0,0000;60,0000;"vyriðkos trumpikës"
KLVD-B2229;"Vyr. kelnaitës";KLVD-B2229;"VYR KELNAITES";-;-;3333;12,0000;1,0000;12,0000;0,0000;0,0000;12,0000;"vyriðkos trumpikës"
KLVD-B2232;"Vyr. kelnaitës";KLVD-B2232;"VYR KELNAITES";-;-;3333;24,0000;1,0000;24,0000;0,0000;0,0000;24,0000;"vyriðkos trumpikës"
