Prekë;Pavadinimas;Barkodas;Grupë;Vartotojas;Sandëlis;Kiekis;Pard. kaina<br>(be PVM);Pard. suma;PVM proc.;PVM suma;Suma;Grupës pav.
LMDD-K1532;Liemenëlë;LMDD-K1532;LIEMENELE;-;-;KEDA;1,0000;3,7200;3,7200;21,0000;0,7800;4,5000;liemenëlë
LMDD-YALDD-1;Liemenëlë;LMDD-YALDD-1;LIEMENELE;-;-;KEDA;2,0000;3,7200;7,4400;21,0000;1,5600;9,0000;liemenëlë
LMD-K898;Liemenëlë;LMD-K898;LIEMENELE;-;-;KEDA;2,0000;4,1300;8,2600;21,0000;1,7400;10,0000;liemenëlë
LMD-KD06;Liemenëlë;LMD-KD06;LIEMENELE;-;-;KEDA;2,0000;3,7200;7,4400;21,0000;1,5600;9,0000;liemenëlë
LMD-YALD;Liemenëlë;LMD-YALD;LIEMENELE;-;-;KEDA;1,0000;2,4800;2,4800;21,0000;0,5200;3,0000;liemenëlë
LME-A735;Liemenëlë;LME-A735;LIEMENELE;-;-;KEDA;3,0000;4,5500;13,6500;21,0000;2,8500;16,5000;liemenëlë
LME-BYALE;Liemenëlë;LME-BYALE;LIEMENELE;-;-;KEDA;3,0000;3,7200;11,1600;21,0000;2,3400;13,5000;liemenëlë
LME-YALE;Liemenëlë;LME-YALE;LIEMENELE;-;-;KEDA;1,0000;3,7200;3,7200;21,0000;0,7800;4,5000;liemenëlë
LMF-BYALF;Liemenëlë;LMF-BYALF;LIEMENELE;-;-;KEDA;1,0000;4,1300;4,1300;21,0000;0,8700;5,0000;liemenëlë
LMF-K29594;Liemenëlë;LMF-K29594;LIEMENELE;-;-;KEDA;1,0000;4,1300;4,1300;21,0000;0,8700;5,0000;liemenëlë
LMG-YALG;Liemenëlë;LMG-YALG;LIEMENELE;-;-;KEDA;1,0000;3,7200;3,7200;21,0000;0,7800;4,5000;liemenëlë
LMSP-K2302;Liemenëlë;LMSP-K2302;LIEMENELE;-;-;KEDA;1,0000;3,7200;3,7200;21,0000;0,7800;4,5000;liemenëlë
MAIS-1;Maiðelis;MAIS-1;MAISELIAI;-;-;KEDA;46,0000;0,0400;1,8400;21,0000;0,4600;2,3000;MAISELIAI
MAIS-2;Maiðelis;MAIS-2;MAISELIAI;-;-;KEDA;190,0000;0,0800;15,2000;21,0000;3,8000;19,0000;MAISELIAI
MAIS-3;Maiðelis;MAIS-3;MAISELIAI;-;-;KEDA;16,0000;0,1200;1,9200;21,0000;0,4800;2,4000;MAISELIAI
MAIS-LENK;Maiðelis;MAIS-LENK;MAISELIAI;-;-;KEDA;64,0000;0,0100;0,6400;21,0000;0,0000;0,6400;MAISELIAI
MK-9K-19577;"Maud. kostiumas";MK-9K-19577;MAUDYMOSI;-;-;KEDA;2,0000;12,3900;24,7800;21,0000;5,2000;29,9800;"maudymosi kostiumai"
MK-9K-BK025;"Maud. kostiumas";MK-9K-BK025;MAUDYMOSI;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;"maudymosi kostiumai"
MK-9K-BK134;"Maud. kostiumas";MK-9K-BK134;MAUDYMOSI;-;-;KEDA;1,0000;1,5700;1,5700;21,0000;0,3300;1,9000;"maudymosi kostiumai"
MZ-97-1357;Megztinis;MZ-97-1357;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-97-1859;Megztinis;MZ-97-1859;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-97-7304;Megztinis;MZ-97-7304;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-97-8210;Megztinis;MZ-97-8210;MEGZTINIAI;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Megztiniai
MZ-97-8787;Megztinis;MZ-97-8787;MEGZTINIAI;-;-;KEDA;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Megztiniai
MZ-97-89251;Megztinis;MZ-97-89251;MEGZTINIAI;-;-;KEDA;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Megztiniai
MZ-97-8929;Megztinis;MZ-97-8929;MEGZTINIAI;-;-;KEDA;2,0000;12,3900;24,7800;21,0000;5,2000;29,9800;Megztiniai
MZ-97-9342;Megztinis;MZ-97-9342;MEGZTINIAI;-;-;KEDA;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Megztiniai
MZ-97-9407;Megztinis;MZ-97-9407;MEGZTINIAI;-;-;KEDA;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Megztiniai
MZ-97-9408;Megztinis;MZ-97-9408;MEGZTINIAI;-;-;KEDA;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Megztiniai
MZ-97-97702;Megztinis;MZ-97-97702;MEGZTINIAI;-;-;KEDA;4,0000;14,0400;56,1600;21,0000;11,8000;67,9600;Megztiniai
MZ-97-97727;Megztinis;MZ-97-97727;MEGZTINIAI;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Megztiniai
MZ-97-9871;Megztinis;MZ-97-9871;MEGZTINIAI;-;-;KEDA;1,0000;5,3700;5,3700;21,0000;1,1300;6,5000;Megztiniai
MZ-97-G651;Megztinis;MZ-97-G651;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-97-G651;Megztinis;MZ-97-G651;MEGZTINIAI;-;-;KEDA;-1,0000;14,0400;-14,0400;21,0000;-2,9500;-16,9900;Megztiniai
MZ-97-G700;Megztinis;MZ-97-G700;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-97-G717;Megztinis;MZ-97-G717;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-98-96067;Megztinis;MZ-98-96067;MEGZTINIAI;-;-;KEDA;2,0000;16,5200;33,0400;21,0000;6,9400;39,9800;Megztiniai
MZ-98-9695;Megztinis;MZ-98-9695;MEGZTINIAI;-;-;KEDA;9,0000;5,3700;48,3300;21,0000;10,1700;58,5000;Megztiniai
MZ-98-9727;Megztinis;MZ-98-9727;MEGZTINIAI;-;-;KEDA;3,0000;5,3700;16,1100;21,0000;3,3900;19,5000;Megztiniai
MZ-98-97742;Megztinis;MZ-98-97742;MEGZTINIAI;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Megztiniai
MZ-99-9312;Megztinis;MZ-99-9312;MEGZTINIAI;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Megztiniai
MZ-99-9612;Megztinis;MZ-99-9612;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-9K-1706;Megztinis;MZ-9K-1706;MEGZTINIAI;-;-;KEDA;2,0000;16,5200;33,0400;21,0000;6,9400;39,9800;Megztiniai
MZ-9K-1707;Megztinis;MZ-9K-1707;MEGZTINIAI;-;-;KEDA;4,0000;16,5200;66,0800;21,0000;13,8800;79,9600;Megztiniai
MZ-9K-6682;Megztinis;MZ-9K-6682;MEGZTINIAI;-;-;KEDA;2,0000;16,5200;33,0400;21,0000;6,9400;39,9800;Megztiniai
MZ-9K-6765;Megztinis;MZ-9K-6765;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-9K-7856;Megztinis;MZ-9K-7856;MEGZTINIAI;-;-;KEDA;3,0000;16,5200;49,5600;21,0000;10,4100;59,9700;Megztiniai
MZ-9K-7866;Megztinis;MZ-9K-7866;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-9K-8295;Megztinis;MZ-9K-8295;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-9K-9123;Megztinis;MZ-9K-9123;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-9K-9124;Megztinis;MZ-9K-9124;MEGZTINIAI;-;-;KEDA;3,0000;12,3900;37,1700;21,0000;7,8000;44,9700;Megztiniai
MZ-9K-954;Megztinis;MZ-9K-954;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-9K-955;Megztinis;MZ-9K-955;MEGZTINIAI;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Megztiniai
MZ-9K-9810;Megztinis;MZ-9K-9810;MEGZTINIAI;-;-;KEDA;5,0000;12,3900;61,9500;21,0000;13,0000;74,9500;Megztiniai
MZ-9K-99L;Megztinis;MZ-9K-99L;MEGZTINIAI;-;-;KEDA;8,0000;8,2600;66,0800;21,0000;13,8400;79,9200;Megztiniai
MZ-9K-99T;Megztinis;MZ-9K-99T;MEGZTINIAI;-;-;KEDA;6,0000;8,2600;49,5600;21,0000;10,3800;59,9400;Megztiniai
MZ-9K-A35;Megztinis;MZ-9K-A35;MEGZTINIAI;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Megztiniai
MZ-9K-A61;Megztinis;MZ-9K-A61;MEGZTINIAI;-;-;KEDA;3,0000;16,5200;49,5600;21,0000;10,4100;59,9700;Megztiniai
MZ-9K-A952;Megztinis;MZ-9K-A952;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-9K-A995;Megztinis;MZ-9K-A995;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-9K-HS501;Megztinis;MZ-9K-HS501;MEGZTINIAI;-;-;KEDA;3,0000;12,3900;37,1700;21,0000;7,8000;44,9700;Megztiniai
MZ-9K-HS843;Megztinis;MZ-9K-HS843;MEGZTINIAI;-;-;KEDA;4,0000;14,0400;56,1600;21,0000;11,8000;67,9600;Megztiniai
MZ-9K-HS846;Megztinis;MZ-9K-HS846;MEGZTINIAI;-;-;KEDA;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Megztiniai
MZ-9K-HS857;Megztinis;MZ-9K-HS857;MEGZTINIAI;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Megztiniai
MZ-9K-HS880;Megztinis;MZ-9K-HS880;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-9K-KO1892;Kostiumas;MZ-9K-KO1892;KOSTIUMAI;-;-;KEDA;1,0000;20,6500;20,6500;21,0000;4,3400;24,9900;kostiumai
MZ-9K-W5208;Megztinis;MZ-9K-W5208;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-9K-W7823;Megztinis;MZ-9K-W7823;MEGZTINIAI;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Megztiniai
MZ-9K-W7937;Megztinis;MZ-9K-W7937;MEGZTINIAI;-;-;KEDA;3,0000;16,5200;49,5600;21,0000;10,4100;59,9700;Megztiniai
MZ-9Y-614R;Megztinis;MZ-9Y-614R;MEGZTINIAI;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Megztiniai
MZSK-97-97261;Suknelë;MZSK-97-97261;SUKNELES;-;-;KEDA;5,0000;16,5200;82,6000;21,0000;17,3500;99,9500;Suknelës
NK-98-138;Naktiniai;NK-98-138;NAKTINIAI;-;-;KEDA;3,0000;6,6000;19,8000;21,0000;4,1700;23,9700;Naktiniai
NK-98-161;Naktiniai;NK-98-161;NAKTINIAI;-;-;KEDA;1,0000;6,6000;6,6000;21,0000;1,3900;7,9900;Naktiniai
NK-98-914;Naktiniai;NK-98-914;NAKTINIAI;-;-;KEDA;5,0000;4,9500;24,7500;21,0000;5,2000;29,9500;Naktiniai
PA-18-AWSAR;Palaidinë;PA-18-AWSAR;PALAIDINES;-;-;KEDA;1,0000;2,0700;2,0700;21,0000;0,4300;2,5000;Palaidinës
PA-18-ONE;Palaidinë;PA-18-ONE;PALAIDINES;-;-;KEDA;1,0000;2,0700;2,0700;21,0000;0,4300;2,5000;Palaidinës
PA-19-AWSAR;Palaidinë;PA-19-AWSAR;PALAIDINES;-;-;KEDA;20,0000;3,3000;66,0000;21,0000;13,8000;79,8000;Palaidinës
PA-19-DUNA;Palaidinë;PA-19-DUNA;PALAIDINES;-;-;KEDA;22,0000;3,3000;72,6000;21,0000;15,1800;87,7800;Palaidinës
PA-19-MEGI;Palaidinë;PA-19-MEGI;PALAIDINES;-;-;KEDA;1,0000;2,0700;2,0700;21,0000;0,4300;2,5000;Palaidinës
PA-19-VERA;Palaidinë;PA-19-VERA;PALAIDINES;-;-;KEDA;3,0000;2,0700;6,2100;21,0000;1,2900;7,5000;Palaidinës
PA-19-WOM;Palaidinë;PA-19-WOM;PALAIDINES;-;-;KEDA;74,0000;1,9978;147,8400;21,0000;30,7100;178,5500;Palaidinës
PA-75-PM168;Palaidinë;PA-75-PM168;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-84-P620;Palaidinë;PA-84-P620;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-85-AW2242;Palaidinë;PA-85-AW2242;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-85-PM5687;Palaidinë;PA-85-PM5687;PALAIDINES;-;-;KEDA;2,0000;3,7200;7,4400;21,0000;1,5600;9,0000;Palaidinës
PA-85-PM603;Palaidinë;PA-85-PM603;PALAIDINES;-;-;KEDA;1,0000;3,7200;3,7200;21,0000;0,7800;4,5000;Palaidinës
PA-85-PM612;Palaidinë;PA-85-PM612;PALAIDINES;-;-;KEDA;1,0000;3,3000;3,3000;21,0000;0,6900;3,9900;Palaidinës
PA-85-PM629;Palaidinë;PA-85-PM629;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-85-PM631;Palaidinë;PA-85-PM631;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-91-FR8254;Palaidinë;PA-91-FR8254;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-91-FREE;Palaidinë;PA-91-FREE;PALAIDINES;-;-;KEDA;1,0000;4,5500;4,5500;21,0000;0,9500;5,5000;Palaidinës
PA-91-VIVA;Palaidinë;PA-91-VIVA;PALAIDINES;-;-;KEDA;2,0000;2,8900;5,7800;21,0000;1,2200;7,0000;Palaidinës
PA-91-VIVAP;Palaidinë;PA-91-VIVAP;PALAIDINES;-;-;KEDA;1,0000;2,0700;2,0700;21,0000;0,4300;2,5000;Palaidinës
PA-92-A2659;Palaidinë;PA-92-A2659;PALAIDINES;-;-;KEDA;1,0000;6,2000;6,2000;21,0000;1,3000;7,5000;Palaidinës
PA-92-F8236;Palaidinë;PA-92-F8236;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-92-VIVA;Palaidinë;PA-92-VIVA;PALAIDINES;-;-;KEDA;1,0000;4,5500;4,5500;21,0000;0,9500;5,5000;Palaidinës
PA-93-DUNA;Palaidinë;PA-93-DUNA;PALAIDINES;-;-;KEDA;4,0000;3,3000;13,2000;21,0000;2,7600;15,9600;Palaidinës
PA-94-6-10;Palaidinë;PA-94-6-10;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-94-8532;Palaidinë;PA-94-8532;PALAIDINES;-;-;KEDA;1,0000;6,2000;6,2000;21,0000;1,3000;7,5000;Palaidinës
PA-94-8609;Palaidinë;PA-94-8609;PALAIDINES;-;-;KEDA;1,0000;6,2000;6,2000;21,0000;1,3000;7,5000;Palaidinës
PA-95-VIVA;Palaidinë;PA-95-VIVA;PALAIDINES;-;-;KEDA;1,0000;0,2900;0,2900;21,0000;0,0600;0,3500;Palaidinës
PA-95-VIVAB;Palaidinë;PA-95-VIVAB;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-96-6-1;Palaidinë;PA-96-6-1;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-96-6-12;Palaidinë;PA-96-6-12;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-96-6-18;Palaidinë;PA-96-6-18;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-96-6-19;Palaidinë;PA-96-6-19;PALAIDINES;-;-;KEDA;1,0000;4,9500;4,9500;21,0000;1,0400;5,9900;Palaidinës
PA-96-M3035;Palaidinë;PA-96-M3035;PALAIDINES;-;-;KEDA;1,0000;0,9900;0,9900;21,0000;0,2100;1,2000;Palaidinës
PA-96-M4839;Palaidinë;PA-96-M4839;PALAIDINES;-;-;KEDA;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Palaidinës
PA-96-M7097;Palaidinë;PA-96-M7097;PALAIDINES;-;-;KEDA;4,0000;8,2600;33,0400;21,0000;6,9200;39,9600;Palaidinës
PA-96-M7160;Palaidinë;PA-96-M7160;PALAIDINES;-;-;KEDA;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Palaidinës
PA-96-M7164;Palaidinë;PA-96-M7164;PALAIDINES;-;-;KEDA;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Palaidinës
PA-96-M7301;Palaidinë;PA-96-M7301;PALAIDINES;-;-;KEDA;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Palaidinës
PA-96-M7308;Palaidinë;PA-96-M7308;PALAIDINES;-;-;KEDA;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Palaidinës
PA-96-M7474;Palaidinë;PA-96-M7474;PALAIDINES;-;-;KEDA;2,0000;6,2000;12,4000;21,0000;2,6000;15,0000;Palaidinës
PA-96-VIVA;Palaidinë;PA-96-VIVA;PALAIDINES;-;-;KEDA;1,0000;3,7200;3,7200;21,0000;0,7800;4,5000;Palaidinës
PARDAVEJOS;"pardavëjos - konsultantës registracija";PARDAVEJOS;;-;-;KEDA;0,0000;0;0,0000;0,0000;0,0000;0,0000;
PB-229-E;Palaidinë;PB-229-E;PALAIDINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Palaidinës
PB-235-A;Palaidinë;PB-235-A;PALAIDINES;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Palaidinës
PB-235B-A;Palaidinë;PB-235B-A;PALAIDINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Palaidinës
PB-235-C;Palaidinë;PB-235-C;PALAIDINES;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Palaidinës
PB-259-A;Palaidinë;PB-259-A;PALAIDINES;-;-;KEDA;1,0000;2,4800;2,4800;21,0000;0,5200;3,0000;Palaidinës
PB-271-G;Palaidinë;PB-271-G;PALAIDINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Palaidinës
PB-280-C;Palaidinë;PB-280-C;PALAIDINES;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Palaidinës
PB-280-F;Palaidinë;PB-280-F;PALAIDINES;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Palaidinës
PB-283-F;Palaidinë;PB-283-F;PALAIDINES;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Palaidinës
PB-285-D;Palaidinë;PB-285-D;PALAIDINES;-;-;KEDA;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Palaidinës
PB-286-B;Palaidinë;PB-286-B;PALAIDINES;-;-;KEDA;2,0000;10,7400;21,4800;21,0000;4,5000;25,9800;Palaidinës
PB-286-F;Palaidinë;PB-286-F;PALAIDINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Palaidinës
PB-287-D;Palaidinë;PB-287-D;PALAIDINES;-;-;KEDA;2,0000;4,7500;9,5000;21,0000;1,9900;11,4900;Palaidinës
PB-292-D;Palaidinë;PB-292-D;PALAIDINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Palaidinës
PB-292-E;Palaidinë;PB-292-E;PALAIDINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Palaidinës
PB-294-E;Palaidinë;PB-294-E;PALAIDINES;-;-;KEDA;1,0000;0,5000;0,5000;21,0000;0,1000;0,6000;Palaidinës
PB-295-G;Palaidinë;PB-295-G;PALAIDINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Palaidinës
PB-295-G;Palaidinë;PB-295-G;PALAIDINES;-;-;KEDA;-1,0000;10,7400;-10,7400;21,0000;-2,2500;-12,9900;Palaidinës
PB-297-D;Palaidinë;PB-297-D;PALAIDINES;-;-;KEDA;1,0000;5,3700;5,3700;21,0000;1,1300;6,5000;Palaidinës
PC-298-G;Palaidinë;PC-298-G;PALAIDINES;-;-;KEDA;1,0000;22,3100;22,3100;21,0000;4,6800;26,9900;Palaidinës
PK-716;Pëdkelnës;PK-716;PEDKELNES;-;-;KEDA;1,0000;2,4800;2,4800;21,0000;0,5200;3,0000;"pëdkelnës, tamprës"
PK-8A-089;Pëdkelnës;PK-8A-089;PEDKELNES;-;-;KEDA;1,0000;2,0700;2,0700;21,0000;0,4300;2,5000;"pëdkelnës, tamprës"
PTB-209-B;Paltas;PTB-209-B;PALTAI;-;-;KEDA;1,0000;28,9200;28,9200;21,0000;6,0700;34,9900;Paltai
PTC-180-D;Paltas;PTC-180-D;PALTAI;-;-;KEDA;1,0000;33,0500;33,0500;21,0000;6,9400;39,9900;Paltai
PTC-210-D;Paltas;PTC-210-D;PALTAI;-;-;KEDA;1,0000;37,1900;37,1900;21,0000;7,8100;45,0000;Paltai
PTC-210-E;Paltas;PTC-210-E;PALTAI;-;-;KEDA;1,0000;37,1900;37,1900;21,0000;7,8100;45,0000;Paltai
PTC-210-F;Paltas;PTC-210-F;PALTAI;-;-;KEDA;1,0000;37,1900;37,1900;21,0000;7,8100;45,0000;Paltai
PTC-210-G;Paltas;PTC-210-G;PALTAI;-;-;KEDA;1,0000;37,1900;37,1900;21,0000;7,8100;45,0000;Paltai
PZ-98-120;Piþama;PZ-98-120;NAKTINIAI;-;-;KEDA;3,0000;5,7800;17,3400;21,0000;3,6300;20,9700;Naktiniai
PZ-98-7010;Piþama;PZ-98-7010;NAKTINIAI;-;-;KEDA;4,0000;8,2600;33,0400;21,0000;6,9200;39,9600;Naktiniai
RA-701-1048J;Rankinë;RA-701-1048J;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-701-1080J;Rankinë;RA-701-1080J;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-701-1092J;Rankinë;RA-701-1092J;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-94-KR-MIX;Rankinë;RA-94-KR-MIX;RANKINES;-;-;KEDA;5,0000;2,4700;12,3500;21,0000;2,6000;14,9500;Rankinës
RA-9C-1318KR;Rankinë;RA-9C-1318KR;RANKINES;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Rankinës
RA-9C-1318R;Rankinë;RA-9C-1318R;RANKINES;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Rankinës
RA-9C-223J;Rankinë;RA-9C-223J;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-9C-225J;Rankinë;RA-9C-225J;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-9C-225R;Rankinë;RA-9C-225R;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-9C-706R;Rankinë;RA-9C-706R;RANKINES;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Rankinës
RA-9C-7080J;Rankinë;RA-9C-7080J;RANKINES;-;-;KEDA;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Rankinës
RA-9C-D5488BO;Rankinë;RA-9C-D5488BO;RANKINES;-;-;KEDA;1,0000;24,7800;24,7800;21,0000;5,2100;29,9900;Rankinës
RA-9K-1080J;Rankinë;RA-9K-1080J;RANKINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Rankinës
RA-9K-1224RA;Rankinë;RA-9K-1224RA;RANKINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Rankinës
RA-9K-2018RU;Rankinë;RA-9K-2018RU;RANKINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Rankinës
RA-9K-219J;Rankinë;RA-9K-219J;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-9K-3072RZ;Rankinë;RA-9K-3072RZ;RANKINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Rankinës
RA-9K-4457KU;Rankinë;RA-9K-4457KU;RANKINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Rankinës
RA-9K-5144RA;Rankinë;RA-9K-5144RA;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-9K-5144RU;Rankinë;RA-9K-5144RU;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-9K-829RZ;Rankinë;RA-9K-829RZ;RANKINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Rankinës
RA-9K-86095PI;Rankinë;RA-9K-86095PI;RANKINES;-;-;KEDA;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Rankinës
RA-9K-J259;Rankinë;RA-9K-J259;RANKINES;-;-;KEDA;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Rankinës
RANKINES-PRANC;"Rankinës Prancûzijos rinkai";RANKINES-PRANC;;-;-;KEDA;0,0000;0;0,0000;0,0000;0,0000;0,0000;
SAL-83-AZ60;Ðalikas;SAL-83-AZ60;KEPURES;-;-;KEDA;1,0000;1,6400;1,6400;21,0000;0,3500;1,9900;"Kepurës, ðalikai, pirðtinës"
SAL-94-AZ;Ðalikas;SAL-94-AZ;KEPURES;-;-;KEDA;1,0000;2,0700;2,0700;21,0000;0,4300;2,5000;"Kepurës, ðalikai, pirðtinës"
SAL-94-GMIX;Ðalikas;SAL-94-GMIX;KEPURES;-;-;KEDA;8,0000;1,2400;9,9200;21,0000;2,0800;12,0000;"Kepurës, ðalikai, pirðtinës"
SAL-94-MCA;Ðalikas;SAL-94-MCA;KEPURES;-;-;KEDA;8,0000;1,3900;11,1200;21,0000;2,3500;13,4700;"Kepurës, ðalikai, pirðtinës"
