Kodas;P-LT;P- Lv;P- EE;Sudëtis;Sudëtis LV;Sudëtis EE;Pirk. Kaina;Gamintojas Lt;Gamintojas Lv;Gamintojas EE;Pard. K- LT;Pard. K- LV;Pard. K- EE;Dydis;Ûgis;LT- EUR;Spalva;Gaminio paskirtis;Firma;Bendras kiekis;kiekis lt;kiekis lv;kiekis est;Didmena;PASTABOS;Registras 3;;poros lt;poros lv;poros est;grupe;EST savikaina;estijos numeris;BARKODAS
M-20K-E-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-E-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-E-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-E-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-E-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-F-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-F-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-F-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-F-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-F-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-F-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-F-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-G-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-G-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-G-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-G-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-G-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-G-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-G-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-G-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-H-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-H-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-H-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-H-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-H-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-H-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-H-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-H-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-I-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-I-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-I-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-I-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-I-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-I-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-I-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-I-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-I-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-J-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-J-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-J-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-J-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-J-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-J-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-J-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-J-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-K-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-K-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-K-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-K-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-K-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-K-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-K-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-Z-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-Z-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-Z-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-Z-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-Z-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-Z-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-Z-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-21K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-21K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-21K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-21K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-21K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-24K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-24K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-24K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-24K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-24K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-24K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-24K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-28K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-28K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-28K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-28K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-28K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-28K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-28K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-31K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-31K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-31K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-31K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-31K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-31K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-31K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
